	Cluster	Sex	Side	Cell_Type	Cell_Type_Max	Cell_Type_Max_COUNTS	Marker
Male_L1-9	1	Male	Left	Microglia	1.935097799	35	Cd40
Male_L1-10	0	Male	Left	Neuron	7.786066202	4	Gap43
Male_L1-11	1	Male	Left	Neuron	2.200910057	25	Gap43
Male_L1-14	4	Male	Left	Oligodendrocyte	2.608713838	8	Mbp
Male_L1-15	1	Male	Left	Microglia	1.450515326	34	Tmem119
Male_L1-17	4	Male	Left	Astrocyte	1.29485743	7	S100b
Male_L1-28	1	Male	Left	Microglia	2.027818892	47	Cd40
Male_L1-40	8	Male	Left	Neuroepithelial	2.441215843	3	Notch1
Male_L1-46	0	Male	Left	Microglia	3.207635923	35	Cd40
Male_L1-48	1	Male	Left	Microglia	0.892704978	35	Tmem119
Male_L1-52	4	Male	Left	Microglia	6.639136248	13	Cd68
Male_L1-76	0	Male	Left	Oligodendrocyte	1.976179299	35	Mbp
Male_L1-78	0	Male	Left	Neuron	2.930223965	29	Thy1
Male_L1-80	3	Male	Left	Neuron	4.402889538	9	Syt1
Male_L1-89	0	Male	Left	Neuron	3.832736541	46	Tubb3
Male_L1-92	1	Male	Left	Microglia	2.260556771	55	Cd40
Male_L1-103	13	Male	Left	Erythroblast	5.98587679	3	Lmnb1
Male_L1-121	4	Male	Left	Immune	0.926947282	8	Tyrobp
Male_L1-124	1	Male	Left	Microglia	2.176515678	29	Cd68
Male_L1-128	0	Male	Left	Microglia	1.826774863	33	Cd68
Male_L1-133	1	Male	Left	Microglia	1.628300332	43	Tmem119
Male_L1-134	4	Male	Left	Neuron	10	4	Thy1
Male_L1-135	0	Male	Left	Microglia	1.933047741	45	Cd68
Male_L1-148	1	Male	Left	Reticulocyte	1.582306568	31	Ruvbl1
Male_L1-150	0	Male	Left	Reticulocyte	1.433850446	52	Ruvbl1
Male_L1-154	5	Male	Left	Immune	0.769561427	58	Tyrobp
Male_L1-159	1	Male	Left	Microglia	1.194842957	23	Cd40
Male_L1-175	4	Male	Left	Microglia	2.76516972	34	Cd68
Male_L1-183	4	Male	Left	Immune	0.880770138	5	Tyrobp
Male_L1-184	3	Male	Left	Neuroepithelial	4.625626552	15	Hes1
Male_L1-190	4	Male	Left	Astrocyte	2.079880806	3	S100b
Male_L1-193	1	Male	Left	Erythroblast	3.081548989	50	Lmnb1
Male_L1-196	6	Male	Left	Neuroepithelial	3.195517553	14	Hes1
Male_L1-199	4	Male	Left	Neuron	10	9	Tubb3
Male_L1-204	1	Male	Left	Ependymal	4.033239237	13	Zmynd10
Male_L1-207	0	Male	Left	Astrocyte	1.713824026	30	Slc1a3
Male_L1-209	0	Male	Left	Microglia	1.54342101	31	Tmem119
Male_L1-211	2	Male	Left	Neuron	2.958300461	14	Nefl
Male_L1-216	4	Male	Left	Neuron	5.800200188	9	Nefl
Male_L1-229	2	Male	Left	Microglia	0.60251723	12	Tmem119
Male_L1-230	1	Male	Left	Neuron	4.134670423	39	Slc12a5
Male_L1-236	1	Male	Left	Microglia	1.434806856	33	Tmem119
Male_L1-255	5	Male	Left	Microglia	1.214660758	75	Cd40
Male_L1-266	12	Male	Left	Astrocyte	3.230005436	16	Gfap
Male_L1-269	3	Male	Left	Endothelial	4.169800839	11	Emcn
Male_L1-275	2	Male	Left	Neuron	2.295869322	22	Gap43
