	Rationale	Gene	Ensemble.ID	Accession.number	Pathway	Classification
Agt	Neuropeptide	Agt	ENSRNOG00000018445	NM_134432	Angiotensin	Neuropeptide Precursor
Agtr1a	Receptor	Agtr1a	ENSRNOG00000018346	NM_030985	Angiotensin	Neuropeptide Receptors
Agtr2	Receptor	Agtr2	ENSRNOG00000050006	NM_012494	Angiotensin	Neuropeptide Receptors
Agtrap	Receptor	Agtrap	ENSRNOG00000008619	NM_001007654	Angiotensin	No_Annot
Foxo3	Transcription Factor	Foxo3	ENSRNOG00000000299	NM_001106395	Transcription Factor	No_Annot
Comt	Metabolism of neurotransmitter	Comt	ENSRNOG00000001889	NM_012531	Catecholaminergic	No_Annot
Dbh	Neurotransmitter synthesis enzymes	Dbh	ENSRNOG00000006641	NM_013158	Catecholaminergic	Neurotransmitter Synthesis
Pnmt	Neurotransmitter synthesis enzymes	Pnmt	ENSRNOG00000046057	NM_031526.1	Catecholaminergic	Neurotransmitter Synthesis
Th	Neurotransmitter synthesis enzymes	Th	ENSRNOG00000020410	NM_012740	Catecholaminergic	Neurotransmitter Synthesis
Grk2	Receptor	Grk2	ENSRNOG00000018985	NM_12776.1	Catecholaminergic	No_Annot
Adra1a	Receptor	Adra1a	ENSRNOG00000009522	NM_017191	Catecholaminergic	Catecholamine Receptors
Adra1b	Receptor	Adra1b	ENSRNOG00000060087	NM_016991	Catecholaminergic	Catecholamine Receptors
Adra2a	Receptor	Adra2a	ENSRNOG00000047545	NM_012739.3	Catecholaminergic	Catecholamine Receptors
Adrb1	Receptor	Adrb1	ENSRNOG00000017002	NM_012701	Catecholaminergic	Catecholamine Receptors
Adrb2	Receptor	Adrb2	ENSRNOG00000019217	NM_012492	Catecholaminergic	Catecholamine Receptors
Drd2	Receptor	Drd2	ENSRNOG00000008428	NM_012547	Catecholaminergic	Catecholamine Receptors
Slc18a2	Transporter	Slc18a2	ENSRNOG00000008890	NM_013031.1 	Catecholaminergic	No_Annot
E2f1	Transcription Factor	E2f1	ENSRNOG00000016708	NM_001100778	Transcription Factor	No_Annot
Ache	Metabolism of neurotransmitter	Ache	ENSRNOG00000050841	NM_172009.1 	Cholinergic	No_Annot
Chat	Neurotransmitter synthesis enzymes	Chat	ENSRNOG00000025012	NM_001170593	Cholinergic	Neurotransmitter Synthesis
