	Section	SampleID	Region	Connectivity	Side	Position	Cell_State	X	Y	Z
D_127-3	127	BS-238_127-L1-3	DMV	FB	Left	Caudal	D	13380.88	-7787.6	-320
D_128-5	128	BS-238_128-L1-3	DMV	FB	Left	Caudal	A	13382.65	-7683.28	-340
D_124-1	124	BS-238_124-L-1	DMV	Non-FB	Left	Caudal	A	13892.19	-7620.77	-260
D_124-2	124	BS-238_124-S-2	DMV	Non-FB	Left	Caudal	A	13640.55	-7653.59	-260
D_124-3	124	BS-238_124-S-3	DMV	Non-FB	Left	Caudal	E	13377.97	-7992.76	-260
D_116-1	116	BS-238_116-L1-1	DMV	FB	Right	Caudal	D	14444.69	-7622.83	-100
D_121-3	121	BS-238_121-L1-3	DMV	FB	Right	Caudal	D	14664.26	-7741.05	-200
D_127-1	127	BS-238_127-L1-1	DMV	FB	Right	Caudal	D	14518.75	-7623.49	-320
D_128-1	128	BS-238_128-L1-1	DMV	FB	Right	Caudal	D	14268.88	-7617.64	-340
D_121-2	121	BS-238_121-2	DMV	Non-FB	Right	Caudal	D	14517	-7856.76	-200
D_128-2	128	BS-238_128-L1-2	DMV	Non-FB	Right	Caudal	E	14695.58	-7573.87	-340
D_127-5	127	BS-238_127-L1-5	NAmb	FB	Left	Caudal	C	12319.6	-9702.28	-320
D_128-7	128	BS-238_128-L1-5	NAmb	FB	Left	Caudal	E	12310.43	-9390.08	-340
D_124-5	124	BS-238_124-L-5	NAmb	FB	Left	Caudal	B	11561.75	-10049.68	-260
D_127-6	127	BS-238_127-L1-6	NAmb	Non-FB	Left	Caudal	A	12199.25	-9592.87	-320
D_128-8	128	BS-238_128-L1-6	NAmb	Non-FB	Left	Caudal	E	12004.08	-9411.97	-340
D_124-4	124	BS-238_124-L-4	NAmb	Non-FB	Left	Caudal	F	11747.75	-9907.44	-260
D_127-7	127	BS-238_127-L1-7	NAmb	FB	Right	Caudal	C	16356.85	-10194.63	-320
D_128-3	128	BS-238_128-L1-7	NAmb	FB	Right	Caudal	F	16336.73	-10123.13	-340
