	Section	Cap	SampleID	Connectivity	Side	Cell_State	X	Y	Z	Position
D2_440_L1_6	440	440-6	BS_247_440_L1_6	FB	Left	1	11450.06	-11217.68	-8780	Caudal
D2_440_S1_3	440	440-3	BS_247_440_S1_3	FB	Left	1	11669.76	-11071.22	-8780	Caudal
D2_446_L1_1	446	446-1	BS_247_446_L1_1	FB	Left	1	11352.05	-11267.73	-8900	Caudal
D2_446_L1_3	446	446-3	BS_247_446_L1_3	FB	Left	1	11527.63	-11137.17	-8900	Caudal
D2_446_L1_5	446	446-5	BS_247_446_L1_5	FB	Left	1	11545.64	-11060.63	-8900	Caudal
D2_446_L1_7	446	446-7	BS_247_446_L1_7	FB	Left	1	11604.17	-11033.62	-8900	Caudal
D2_452_L1_2	452	452-2	BS_247_452_L1_2	FB	Left	4	11524.45	-11023.6	-9020	Caudal
D2_452_L1_3	452	452-3	BS_247_452_L1_3	FB	Left	0	11393.89	-11100.13	-9020	Caudal
D2_452_L1_4	452	452-4	BS_247_452_L1_4	FB	Left	1	11362.38	-11127.14	-9020	Caudal
D2_452_L1_5	452	452-5	BS_247_452_L1_5	FB	Left	4	11299.35	-11145.15	-9020	Caudal
D2_452_L1_6	452	452-6	BS_247_452_L1_6	FB	Left	0	11479.43	-11082.12	-9020	Caudal
D2_452_L1_7	452	452-7	BS_247_452_L1_7	FB	Left	4	11465.93	-11041.6	-9020	Caudal
D2_458_L1_14	458	458-14	BS_247_458_L1_14	FB	Left	3	11391.1	-11188.11	-9140	Caudal
D2_458_L1_15	458	458-15	BS_247_458_L1_15	FB	Left	0	11431.34	-11224.7	-9140	Caudal
D2_458_L1_18	458	458-18	BS_247_458_L1_18	FB	Left	2	11299.64	-11305.18	-9140	Caudal
D2_464_S1_1	464	464-1	BS_247_464_S1_1	FB	Left	2	11190.97	-11353.16	-9260	Caudal
D2_464_S1_3	464	464-3	BS_247_464_S1_3	FB	Left	0	11066.95	-11364.79	-9260	Caudal
D2_468_L1_3	468	468-3	BS_247_468_L1_3	FB	Left	4	11140.94	-11481.27	-9340	Caudal
D2_468_L1_4	468	468-4	BS_247_468_L1_4	FB	Left	0	10994.6	-11495.91	-9340	Caudal
D2_440_L1_7	440	440-7	BS_247_440_L1_7	Non-FB	Left	3	11625.82	-10976.01	-8780	Caudal
D2_446_L1_2	446	446-2	BS_247_446_L1_2	Non-FB	Left	0	11271.01	-11330.76	-8900	Caudal
D2_446_L1_4	446	446-4	BS_247_446_L1_4	Non-FB	Left	0	11410.58	-11123.66	-8900	Caudal
D2_446_L1_6	446	446-6	BS_247_446_L1_6	Non-FB	Left	3	11410.58	-11213.7	-8900	Caudal
D2_446_L1_8	446	446-8	BS_247_446_L1_8	Non-FB	Left	4	11586.16	-11087.65	-8900	Caudal
D2_452_L1_10	452	452-10	BS_247_452_L1_10	Non-FB	Left	1	11240.82	-11185.67	-9020	Caudal
D2_452_L1_11	452	452-11	BS_247_452_L1_11	Non-FB	Left	1	11488.44	-11037.1	-9020	Caudal
D2_452_L1_13	452	452-13	BS_247_452_L1_13	Non-FB	Left	4	11339.87	-11082.12	-9020	Caudal
D2_452_L1_8	452	452-8	BS_247_452_L1_8	Non-FB	Left	1	11447.92	-11082.12	-9020	Caudal
D2_452_L1_9	452	452-9	BS_247_452_L1_9	Non-FB	Left	2	11434.41	-11086.63	-9020	Caudal
D2_458_L1_16	458	458-16	BS_247_458_L1_16	Non-FB	Left	0	11478.9	-11228.35	-9140	Caudal
D2_458_L1_17	458	458-17	BS_247_458_L1_17	Non-FB	Left	0	11398.42	-11290.55	-9140	Caudal
D2_464_S1_2	464	464-2	BS_247_464_S1_2	Non-FB	Left	0	11179.34	-11337.66	-9260	Caudal
D2_464_S1_4	464	464-4	BS_247_464_S1_4	Non-FB	Left	0	11132.83	-11341.54	-9260	Caudal
D2_468_L1_10	468	468-10	BS_247_468_L1_10	Non-FB	Left	0	11261.66	-11466.64	-9340	Caudal
D2_468_L1_6	468	468-6	BS_247_468_L1_6	Non-FB	Left	0	11056.79	-11441.03	-9340	Caudal
D2_468_L1_7	468	468-7	BS_247_468_L1_7	Non-FB	Left	0	10892.17	-11737.35	-9340	Caudal
D2_468_L1_8	468	468-8	BS_247_468_L1_8	Non-FB	Left	0	11027.53	-11634.92	-9340	Caudal
D2_440_S1_10	440	440-10	BS_247_440_S1_10	FB	Right	2	12341.97	-11014.44	-8780	Caudal
D2_440_S1_8	440	440-8	BS_247_440_S1_8	FB	Right	2	12415.2	-11021.76	-8780	Caudal
D2_446_L1_11	446	446-11	BS_247_446_L1_11	FB	Right	2	12348.76	-11030.97	-8900	Caudal
D2_446_L1_12	446	446-12	BS_247_446_L1_12	FB	Right	1	12263.22	-10967.94	-8900	Caudal
D2_446_L1_14	446	446-14	BS_247_446_L1_14	FB	Right	1	12281.23	-10918.41	-8900	Caudal
D2_446_L1_9	446	446-9	BS_247_446_L1_9	FB	Right	0	12429.8	-10985.94	-8900	Caudal
D2_452_L1_14	452	452-14	BS_247_452_L1_14	FB	Right	5	12261.49	-11063.6	-9020	Caudal
D2_452_L1_15	452	452-15	BS_247_452_L1_15	FB	Right	0	12247.98	-10973.56	-9020	Caudal
D2_458_L1_1	458	458-1	BS_247_458_L1_1	FB	Right	1	12697.12	-11067.39	-9140	Caudal
D2_458_L1_2	458	458-2	BS_247_458_L1_2	FB	Right	4	12616.64	-11078.36	-9140	Caudal
D2_458_L1_3	458	458-3	BS_247_458_L1_3	FB	Right	4	12667.85	-11140.55	-9140	Caudal
D2_458_L1_4	458	458-4	BS_247_458_L1_4	FB	Right	0	12488.6	-11005.2	-9140	Caudal
D2_458_L1_5	458	458-5	BS_247_458_L1_5	FB	Right	2	12464.73	-10930.16	-9140	Caudal
D2_458_L1_6	458	458-6	BS_247_458_L1_6	FB	Right	3	12548.87	-10944.79	-9140	Caudal
D2_464_L1_5	464	464-5	BS_247_464_L1_5	FB	Right	2	12559.02	-11027.62	-9260	Caudal
D2_468_L1_11	468	468-11	BS_247_468_L1_11	FB	Right	2	12527.44	-11173.97	-9340	Caudal
D2_468_L1_12	468	468-12	BS_247_468_L1_12	FB	Right	3	12560.37	-11280.06	-9340	Caudal
D2_468_L1_13	468	468-13	BS_247_468_L1_13	FB	Right	0	12315.26	-11206.9	-9340	Caudal
D2_468_L1_14	468	468-14	BS_247_468_L1_14	FB	Right	0	12333.55	-11130.07	-9340	Caudal
D2_468_L1_15	468	468-15	BS_247_468_L1_15	FB	Right	0	12457.93	-11243.48	-9340	Caudal
D2_440_S1_11	440	440-11	BS_247_440_S1_11	Non-FB	Right	1	12473.79	-11036.41	-8780	Caudal
D2_440_S1_13	440	440-13	BS_247_440_S1_13	Non-FB	Right	0	12730.11	-11051.06	-8780	Caudal
D2_440_S1_4	440	440-4	BS_247_440_S1_4	Non-FB	Right	2	11472.03	-11100.51	-8780	Caudal
D2_440_S1_9	440	440-9	BS_247_440_S1_9	Non-FB	Right	2	12488.44	-11124.29	-8780	Caudal
D2_446_L1_10	446	446-10	BS_247_446_L1_10	Non-FB	Right	1	12384.78	-11048.97	-8900	Caudal
D2_446_L1_13	446	446-13	BS_247_446_L1_13	Non-FB	Right	0	12425.29	-10940.92	-8900	Caudal
D2_452_L1_16	452	452-16	BS_247_452_L1_16	Non-FB	Right	3	12220.97	-11054.6	-9020	Caudal
D2_458_L1_10	458	458-10	BS_247_458_L1_10	Non-FB	Right	0	12589.11	-11003.33	-9140	Caudal
D2_458_L1_11	458	458-11	BS_247_458_L1_11	Non-FB	Right	2	12490.34	-10970.4	-9140	Caudal
D2_458_L1_12	458	458-12	BS_247_458_L1_12	Non-FB	Right	2	12580.05	-11089.34	-9140	Caudal
D2_458_L1_13	458	458-13	BS_247_458_L1_13	Non-FB	Right	1	12605.66	-11030.8	-9140	Caudal
D2_458_L1_19	458	458-19	BS_247_458_L1_19	Non-FB	Right	2	12528.84	-11063.73	-9140	Caudal
D2_458_L1_7	458	458-7	BS_247_458_L1_7	Non-FB	Right	0	12631.27	-11166.16	-9140	Caudal
D2_458_L1_8	458	458-8	BS_247_458_L1_8	Non-FB	Right	0	12591.03	-11144.21	-9140	Caudal
D2_458_L1_9	458	458-9	BS_247_458_L1_9	Non-FB	Right	3	12470.31	-11093	-9140	Caudal
D2_468_L1_16	468	468-16	BS_247_468_L1_16	Non-FB	Right	5	12318.92	-11269.09	-9340	Caudal
D2_468_L1_17	468	468-17	BS_247_468_L1_17	Non-FB	Right	5	12370.13	-11163	-9340	Caudal
D2_468_L1_18	468	468-18	BS_247_468_L1_18	Non-FB	Right	0	12439.64	-11104.46	-9340	Caudal
D2_468_L1_19	468	468-19	BS_247_468_L1_19	Non-FB	Right	0	12425.01	-11210.56	-9340	Caudal
D2_468_L1_20	468	468-20	BS_247_468_L1_20	Non-FB	Right	0	12388.43	-11283.72	-9340	Caudal
D2_398_L1_7	398	398-7	BS_247_398_L1_7	FB	Left	5	11843.15	-10982.07	-7940	Intermediate
D2_404_L1_1	404	404-1	BS_247_404_L1_1	FB	Left	2	11885.72	-10764.15	-8060	Intermediate
D2_404_L1_2	404	404-2	BS_247_404_L1_2	FB	Left	1	11849.1	-10764.15	-8060	Intermediate
D2_404_L1_6	404	404-6	BS_247_404_L1_6	FB	Left	1	11746.57	-10778.79	-8060	Intermediate
D2_410_L1_9	410	410-9	BS_247_410_L1_9	FB	Left	1	11769.36	-10805.54	-8180	Intermediate
D2_410_S1_7	410	410-7	BS_247_410_S1_7	FB	Left	1	11674.09	-10853.18	-8180	Intermediate
D2_416_L1_3	416	416-3	BS_247_416_L1_3	FB	Left	1	11744.51	-10929.17	-8300	Intermediate
D2_416_L1_4	416	416-4	BS_247_416_L1_4	FB	Left	1	11604.52	-10907.07	-8300	Intermediate
D2_416_L1_5	416	416-5	BS_247_416_L1_5	FB	Left	4	11773.98	-10877.6	-8300	Intermediate
D2_416_L1_7	416	416-7	BS_247_416_L1_7	FB	Left	1	11412.96	-10980.75	-8300	Intermediate
D2_422_L1_11	422	422-11	BS_247_422_L1_11	FB	Left	1	11311.56	-10949.18	-8420	Intermediate
D2_422_L1_7	422	422-7	BS_247_422_L1_7	FB	Left	1	11503.12	-10904.97	-8420	Intermediate
D2_422_L1_9	422	422-9	BS_247_422_L1_9	FB	Left	1	11422.08	-10934.44	-8420	Intermediate
D2_428_L1_4	428	428-4	BS_247_428_L1_4	FB	Left	1	11272.08	-11071.36	-8540	Intermediate
D2_428_L1_7	428	428-7	BS_247_428_L1_7	FB	Left	4	11609.25	-10939.58	-8540	Intermediate
D2_434_L1_1	434	434-1	BS_247_434_L1_1	FB	Left	4	11488.86	-10909.28	-8660	Intermediate
D2_434_L1_2	434	434-2	BS_247_434_L1_2	FB	Left	1	11671.46	-10877.52	-8660	Intermediate
D2_440_L1_1	440	440-1	BS_247_440_L1_1	FB	Left	1	11721.02	-11034.6	-8780	Intermediate
D2_440_L1_2	440	440-2	BS_247_440_L1_2	FB	Left	1	11530.61	-11056.57	-8780	Intermediate
D2_398_L1_6	398	398-6	BS_247_398_L1_6	Non-FB	Left	0	11570.55	-10864.19	-7940	Intermediate
D2_398_L1_8	398	398-8	BS_247_398_L1_8	Non-FB	Left	5	11725.27	-10923.13	-7940	Intermediate
D2_404_L1_3	404	404-3	BS_247_404_L1_3	Non-FB	Left	5	11666.02	-10859.35	-8060	Intermediate
D2_404_L1_4	404	404-4	BS_247_404_L1_4	Non-FB	Left	3	11607.43	-10874	-8060	Intermediate
D2_404_L1_5	404	404-5	BS_247_404_L1_5	Non-FB	Left	0	11504.91	-10888.64	-8060	Intermediate
D2_410_S1_10	410	410-10	BS_247_410_S1_10	Non-FB	Left	0	11618.51	-10749.97	-8180	Intermediate
